14.713869094848633,8045,-20,100
14.53804874420166,7813,-20,100
14.410767078399658,7944,-20,100
14.329245805740356,7690,-20,100
14.434687852859497,7922,-20,100
20.459339141845703,9426,-20,80
21.11401605606079,9947,-20,80
21.17392897605896,9925,-20,80
20.71535587310791,9751,-20,80
20.615652799606323,9718,-20,80
12.249191999435425,4775,20,100
12.420209169387817,4933,20,100
12.400421142578125,5276,20,100
12.38465404510498,5170,20,100
12.744292974472046,5258,20,100
12.270296812057495,5043,20,100
